"words","cluster"
"cardfyi",1
"cardgreat",1
"cardi",1
"cardpossibly",1
"cards",1
"care",1
"careful",1
"carefull",1
"carefully",1
"carelessness",1
"cares",1
"carfeully",1
"caring",1
"carolina",1
"carousel",1
"carpenter",1
"carriage",1
"carrier",1
"carries",1
"carry",1
"carrying",1
"carryon",1
"cars",1
"cartoons",1
"cartridge",1
"case",4
"casecons",1
"casecrown",1
"caseen",1
"casefirst",1
"cases",1
"casesbattery",1
"cash",1
"casing",1
"cassette",1
"casual",1
"catalyst",1
"catastrophically",1
"catch",1
"catching",1
"categories",1
"categorize",1
"category",1
"cater",1
"catering",1
"cates",1
"caught",1
"cause",1
"caused",1
"causes",1
"causing",1
"caution",1
"cautious",1
"caveats",1
"caved",1
"cbear",1
"cbears",1
"cbz",1
"ccdtrv",1
"ccnacisco",1
"ccs",1
"cdcdrwdvd",1
"cddvd",1
"cdrom",1
"cdrwdvd",1
"cds",1
"ceasing",1
"ceiling",1
"celeste",1
"cell",1
"cellphone",1
"cellphones",1
"cells",1
"cellular",1
"cemetery",1
"center",1
"centered",1
"centerline",1
"central",1
"cents",1
"centseasily",1
"century",1
"certain",1
"certainly",1
"certanily",1
"certificate",1
"certified",1
"cfamera",1
"chain",1
"chair",1
"chalk",1
"challenge",1
"challenged",1
"challenges",1
"challengesanta",1
"challenging",1
"chance",1
"chances",1
"change",4
"changed",1
"changer",1
"changes",1
"changing",1
"channel",1
"chapter",1
"chapters",1
"character",1
"characterization",1
"characters",1
"charge",4
"charged",1
"chargedischarge",1
"charger",1
"chargercablenothing",1
"chargerecharge",1
"chargers",1
"charges",1
"charging",1
"chargingapart",1
"charity",1
"charm",1
"charming",1
"charts",1
"chase",1
"chat",1
"chatting",1
"chattingspend",1
"cheap",1
"cheapalmost",1
"cheaper",1
"cheaperlcd",1
"cheapest",1
"cheaply",1
"cheaplymade",1
"cheapo",1
"cheapskate",1
"check",4
"checkcheck",1
"checked",1
"checker",1
"checking",1
"checkout",1
"checkouts",1
"checks",1
"cheerful",1
"cheesy",1
"cheetah",1
"chemical",1
"chess",1
"chest",1
"chews",1
"chicago",1
"chiefly",1
"child",1
"childhood",1
"childish",1
"children",1
"childrens",1
"childs",1
"chill",1
"china",1
"chinawish",1
"chinese",1
"chintzy",1
"chip",1
"chocolate",1
"choice",1
"choices",1
"choiceupdate",1
"choose",1
"chooses",1
"choosing",1
"choppy",1
"chord",1
"chose",1
"chosen",1
"christmas",1
"chrome",1
"chromecast",1
"chunk",1
"church",1
"cincinnati",1
"cine",1
"cinemanow",1
"circuit",1
"circumstance",1
"cisco",1
"cited",1
"citi",1
"city",1
"claim",1
"claiming",1
"claims",1
"clarify",1
"clarity",1
"clark",1
"class",1
"classes",1
"classic",1
"classical",1
"classics",1
"classifications",1
"classroom",1
"clean",1
"cleaned",1
"cleaning",1
"cleanly",1
"clear",1
"clearance",1
"cleared",1
"clearly",1
"clemenss",1
"clever",1
"cleverly",1
"cliche",1
"click",1
"clicked",1
"clicking",1
"clicks",1
"clicky",1
"clients",1
"clip",1
"clipboard",1
"clipping",1
"clips",1
"clock",1
"clocked",1
"close",1
"closed",1
"closely",1
"closer",1
"closes",1
"closest",1
"closing",1
"cloth",1
"clothes",1
"cloud",1
"cloudy",1
"clue",1
"clueless",1
"clues",1
"clumbersome",1
"clumsy",1
"cluncky",1
"clunky",1
"clutter",1
"cluttered",1
"coarse",1
"coast",1
"coat",1
"coated",1
"coating",1
"cobble",1
"cocoa",1
"code",1
"coder",1
"coffee",1
"cohesion",1
"coil",1
"coin",1
"colapse",1
"colleague",1
"collected",1
"collecting",1
"collection",1
"collections",1
"collector",1
"college",1
"collins",1
"color",2
"colorado",1
"colored",1
"colorful",1
"colornook",1
"colorprosbeautiful",1
"colorresolution",1
"colors",1
"colorscreen",1
"colortab",1
"colortablet",1
"colortakes",1
"colorupdate",1
"colour",1
"colours",1
"com",1
"comb",1
"combersome",1
"combination",1
"combinations",1
"combine",1
"combined",1
"combines",1
"combo",1
"comcast",1
"come",4
"comecolor",1
"comes",4
"comfort",1
"comfortable",1
"comfortably",1
"comics",1
"coming",1
"command",1
"commander",1
"comment",1
"commentary",1
"commented",1
"comments",1
"commercial",1
"commercials",1
"commercialsmake",1
"common",1
"commonly",1
"commonplace",1
"community",1
"commute",1
"commuting",1
"compact",1
"companies",1
"companion",1
"company",1
"companyand",1
"companyproduct",1
"companys",1
"compaq",1
"comparable",1
"compare",1
"compared",4
"compares",1
"comparing",1
"comparison",1
"comparisons",1
"compatibility",1
"compatible",1
"compensate",1
"compete",1
"competence",1
"competing",1
"competition",1
"competitionseasy",1
"competitive",1
"competitively",1
"competitor",1
"competitorone",1
"competitors",1
"complain",1
"complained",1
"complaining",1
"complaint",1
"complaints",1
"complete",1
"completed",1
"completely",1
"complex",1
"complexity",1
"complicated",1
"complimented",1
"compound",1
"compress",1
"compromise",1
"compromised",1
"compute",1
"computer",4
"computerlaptopnetbook",1
"computerpros",1
"computers",1
"computerstablets",1
"computerwonder",1
"computing",1
"con",1
"concept",1
"conceptualized",1
"concern",1
"concerned",1
"concerning",1
"concerns",1
"concert",1
"concluded",1
"conclusion",1
"concrete",1
"condition",1
"conditionsoverall",1
"condo",1
"conductor",1
"conferance",1
"conferencing",1
"confidence",1
"confident",1
"configs",1
"configuration",1
"confined",1
"confirm",1
"confirmation",1
"confirmations",1
"confirmed",1
"confortable",1
"confused",1
"confusing",1
"confusion",1
"congruency",1
"conjested",1
"connect",1
"connected",1
"connecting",1
"connectingcame",1
"connection",1
"connections",1
"connectivity",1
"connector",1
"connectors",1
"connects",1
"cons",1
"conscience",1
"consider",1
"considerably",1
"consideration",1
"considerations",1
"considered",1
"considering",1
"consistency",1
"consistent",1
"consistently",1
"console",1
"consoles",1
"consolidate",1
"consshort",1
"constant",1
"constantly",1
"constrained",1
"constructed",1
"construction",1
"constructiontool",1
"consumer",1
"consumers",1
"consuming",1
"consumption",1
"contact",1
"contacted",1
"contacting",1
"contacts",1
"contain",1
"contained",1
"contemplating",1
"contender",1
"contenders",1
"contends",1
"content",4
"contentfrankly",1
"contents",1
"contest",1
"continue",1
"continues",1
"contoured",1
"contract",1
"contrary",1
"contrast",1
"contrasting",1
"contrasty",1
"contributed",1
"control",1
"controller",1
"controls",1
"convenience",1
"convenient",1
"conveniently",1
"conventional",1
"conversation",1
"conversationsfifth",1
"conversing",1
"conversion",1
"convert",1
"converted",1
"converter",1
"converters",1
"converting",1
"converts",1
"convinced",1
"cook",1
"cookbook",1
"cookies",1
"cooking",1
"cool",1
"coolconnectivity",1
"cooloverall",1
"cools",1
"coordinate",1
"copied",1
"copies",1
"copious",1
"copy",1
"copying",1
"copyright",1
"cord",1
"cordless",1
"cords",1
"core",1
"corner",1
"cornermount",1
"corps",1
"correct",1
"corrected",1
"correction",1
"correctly",1
"correctnessjohnny",1
"corrupted",1
"cost",1
"costalso",1
"costco",1
"costing",1
"costly",1
"costs",1
"costumer",1
"costumes",1
"cosuming",1
"couch",1
"coulpe",1
"count",1
"counter",1
"counterintuitive",1
"counterpart",1
"counterparts",1
"countless",1
"countries",1
"country",1
"counts",1
"county",1
"couple",1
"coupons",1
"course",1
"courteous",1
"courtesy",1
"cover",4
"coverage",1
"covered",1
"coverflowlike",1
"covers",1
"coversgetting",1
"coverwish",1
"covet",1
"covienence",1
"coworker",1
"coworkers",1
"cox",1
"cpap",1
"cpu",1
"cra",1
"craaaaazy",1
"crack",1
"crackbreakshow",1
"cracked",1
"cracking",1
"crafting",1
"craftsmanship",1
"crank",1
"crap",1
"crappier",1
"crappy",1
"crappyjunk",1
"crash",1
"crashed",1
"crashes",1
"crashing",1
"craze",1
"crazy",1
"crazyfrog",1
"cream",1
"create",1
"createburn",1
"created",1
"creating",1
"creative",1
"credit",1
"credited",1
"credits",1
"cree",1
"creep",1
"crescent",1
"crewed",1
"crime",1
"cringe",1
"cripple",1
"crippled",1
"crisp",1
"crisper",1
"criteria",1
"criterion",1
"critical",1
"criticisms",1
"croaked",1
"crooked",1
"cross",1
"crossed",1
"crossfire",1
"crossplatform",1
"crosstalk",1
"crossword",1
"crt",1
"crude",1
"cruise",1
"crummy",1
"crush",1
"cry",1
"crystal",1
"cuisine",1
"culprit",1
"cumbersome",1
"cupped",1
"curate",1
"cured",1
"curious",1
"curley",1
"current",1
"currently",1
"cursor",1
"curteous",1
"curtesy",1
"curve",1
"curved",1
"curvesideloading",1
"cussed",1
"custom",1
"customer",4
"customerfocused",1
"customers",1
"customersupdate",1
"customizable",1
"customization",1
"customize",1
"customized",1
"customizing",1
"cut",1
"cute",1
"cutting",1
"cyanogen",1
"cyanogenmod",1
"cycle",1
"cycles",1
"dad",1
"daily",1
"dailyoverall",1
"damage",1
"damaged",1
"damageill",1
"damaging",1
"damn",1
"dan",1
"dand",1
"dangling",1
"dare",1
"dark",1
"darkened",1
"darker",1
"darling",1
"darn",1
"darned",1
"data",1
"databases",1
"datapower",1
"date",1
"daughter",1
"daughters",1
"davis",1
"day",4
"daylight",1
"daymagazines",1
"days",4
"daysnext",1
"daysnow",1
"daystouchscreen",1
"daytime",1
"dayton",1
"dday",1
"ddr",1
"dduawhen",1
"dead",1
"deal",4
"dealbreaker",1
"dealer",1
"dealing",1
"dealkiller",1
"deals",1
"dealyet",1
"death",1
"debating",1
"debit",1
"debugging",1
"dec",1
"december",1
"decent",1
"decently",1
"deceptive",1
"decide",1
"decided",4
"deciding",1
"decidingupdate",1
"decision",1
"decisionhopefully",1
"decisions",1
"deck",1
"decorum",1
"decrease",1
"decreases",1
"decribed",1
"decrypted",1
"dedicated",1
"dedication",1
"deducting",1
"deemed",1
"deep",1
"deeper",1
"def",1
"default",1
"defeats",1
"defect",1
"defective",1
"defend",1
"deficiencies",1
"deficient",1
"define",1
"definetely",1
"definitely",1
"definition",1
"definitionhighlight",1
"deflected",1
"deformed",1
"degenerates",1
"degradation",1
"degree",1
"degrees",1
"deinterlacing",1
"delay",1
"delays",1
"delete",1
"deleted",1
"deleting",1
"deletion",1
"deliberate",1
"delicate",1
"delight",1
"delighted",1
"delightfully",1
"deliver",1
"delivered",1
"delivers",1
"delivery",1
"dell",1
"demanding",1
"demo",1
"demonstrated",1
"dennys",1
"dennysokay",1
"dent",1
"denver",1
"deny",1
"depaola",1
"department",1
"depend",1
"dependable",1
"depending",1
"depends",1
"depot",1
"depth",1
"deregister",1
"described",1
"describing",1
"description",1
"deserve",1
"deserves",1
"design",1
"designed",1
"designedprogrammer",1
"designers",1
"designsecond",1
"desirable",1
"desire",1
"desired",1
"desires",1
"desk",1
"desktop",1
"desperately",1
"despicable",1
"despite",1
"destroyed",1
"destroys",1
"detail",1
"detailed",1
"detaillcd",1
"details",1
"detected",1
"detecting",1
"deter",1
"deteriorated",1
"determine",1
"determined",1
"determines",1
"determining",1
"dethrone",1
"develop",1
"developed",1
"developer",1
"developers",1
"development",1
"develops",1
"device",2
"deviceboo",1
"devicechanging",1
"devicefirst",1
"devicegoodness",1
"devicemicrosd",1
"deviceoverall",1
"devicepros",1
"deviceprosremovablereplaceable",1
"deviceread",1
"devicereturned",1
"devices",4
"devicescharger",1
"deviceseems",1
"devicethanks",1
"deviceversatility",1
"devoted",1
"diagnostic",1
"diagram",1
"diagrams",1
"dialogue",1
"diameter",1
"dictate",1
"dictionary",1
"didnt",1
"die",1
"died",1
"dies",1
"difference",1
"differencebooks",1
"differences",1
"differenct",1
"different",1
"differentreading",1
"difficult",1
"difficulty",1
"dig",1
"digital",1
"digitally",1
"digitizer",1
"digress",1
"dilemma",1
"dim",1
"dimensions",1
"diminish",1
"dimly",1
"dimmed",1
"dimmer",1
"dimmly",1
"dinner",1
"dire",1
"direct",1
"directed",1
"direction",1
"directional",1
"directions",1
"directly",1
"directories",1
"dirt",1
"dis",1
"disabilities",1
"disable",1
"disabled",1
"disables",1
"disabling",1
"disagree",1
"disapointed",1
"disappear",1
"disappeared",1
"disappearing",1
"disappears",1
"disappoint",1
"disappointed",1
"disappointing",1
"disappointment",1
"disappointmentcharger",1
"disappointst",1
"disapppointed",1
"disassembled",1
"disaster",1
"disc",1
"discard",1
"discern",1
"discerning",1
"discharge",1
"discharged",1
"disclaimers",1
"disco",1
"disconnect",1
"disconnected",1
"disconnecting",1
"disconnects",1
"discontinued",1
"discount",1
"discounted",1
"discounts",1
"discover",1
"discovered",1
"discovery",1
"discuss",1
"discussion",1
"disguise",1
"disjointed",1
"disk",1
"disks",1
"dislike",1
"dislikes",1
"dismal",1
"dismay",1
"dismayed",1
"dismount",1
"disney",1
"disorientation",1
"disorienting",1
"dispelled",1
"display",4
"displaybooks",1
"displayed",1
"displayhappy",1
"displaying",1
"displayit",1
"displayport",1
"displays",1
"displeasing",1
"disposable",1
"disrespect",1
"diss",1
"dissapointed",1
"dissappear",1
"dissappointing",1
"dissatisfied",1
"distance",1
"distinguish",1
"distorted",1
"distract",1
"distracted",1
"distracting",1
"distraction",1
"distractions",1
"distractionsecond",1
"distribute",1
"distributing",1
"distributors",1
"district",1
"disturb",1
"ditch",1
"ditched",1
"divd",1
"diversify",1
"divided",1
"diy",1
"diyer",1
"diyersinstall",1
"dlink",1
"dmczs",1
"doable",1
"doc",1
"dock",1
"docking",1
"docs",1
"doctors",1
"document",1
"documentation",1
"documented",1
"documents",4
"doecker",1
"doesnot",1
"doesnt",1
"dohickey",1
"dollar",1
"dollars",1
"dollarsanother",1
"dolphin",1
"domain",1
"domensions",1
"done",1
"dont",1
"doo",1
"door",1
"doors",1
"doorway",1
"dots",1
"double",1
"doubleboxed",1
"doublespacing",1
"doubletap",1
"doubt",1
"doubts",1
"douglas",1
"dowloaded",1
"downdoaded",1
"downgrade",1
"downhill",1
"downlaoding",1
"download",4
